INFO: Top words for category 'SCIENCE': [('the', 539), ('to', 452), ('of', 428), ('in', 406), ('a', 296), ('for', 200), ('on', 186), ('new', 168), ('is', 168), ('and', 157)]
INFO: Top words for category 'PARENTING': [('the', 2590), ('to', 2333), ('a', 1718), ('of', 1282), ('for', 1163), ('and', 1104), ('in', 826), ('kids', 815), ('my', 810), ('your', 796)]
INFO: Top words for category 'WORLD NEWS': [('in', 1033), ('to', 863), ('of', 669), ('the', 586), ('for', 447), ('on', 289), ('a', 286), ('after', 270), ('at', 258), ('and', 255)]
INFO: Top words for category 'HOME & LIVING': [('(photos)', 1291), ('the', 1192), ('to', 1186), ('a', 1056), ('home', 815), ('of', 723), ('for', 651), ('your', 635), ('and', 603), ('in', 587)]
INFO: Top words for category 'TASTE': [('the', 741), ('to', 594), ('a', 381), ('for', 274), ('you', 262), ('of', 240), ('is', 236), ('in', 232), ('and', 231), ('your', 231)]
INFO: Top words for category 'WOMEN': [('the', 1332), ('to', 979), ('a', 722), ('women', 690), ('of', 574), ('in', 463), ('is', 399), ('for', 390), ('and', 371), ('this', 323)]
INFO: Top words for category 'STYLE': [('the', 901), ('to', 479), ('a', 415), ('is', 370), ('of', 294), ('this', 283), ('and', 279), ('in', 274), ('for', 270), ('you', 210)]
INFO: Top words for category 'FOOD & DRINK': [('the', 2172), ('to', 1340), ('a', 884), ('and', 763), ('of', 762), ('(photos)', 696), ('for', 670), ('recipes', 571), ('in', 557), ('you', 511)]
INFO: Top words for category 'CRIME': [('in', 1126), ('of', 754), ('to', 686), ('police', 458), ('for', 455), ('man', 421), ('after', 418), ('on', 321), ('with', 303), ('the', 297)]
INFO: Top words for category 'WEDDINGS': [('wedding', 1452), ('to', 992), ('the', 985), ('a', 608), ('your', 485), ('for', 448), ('marriage', 386), ('in', 367), ('of', 347), ('and', 339)]
INFO: Top words for category 'RELIGION': [('the', 863), ('of', 591), ('to', 574), ('a', 410), ('in', 393), ('and', 379), ('for', 297), ('pope', 239), ('is', 228), ('on', 189)]
INFO: Top words for category 'HEALTHY LIVING': [('to', 2146), ('the', 1912), ('a', 1189), ('of', 985), ('your', 977), ('you', 825), ('for', 803), ('and', 749), ('in', 735), ('how', 667)]
INFO: Top words for category 'POLITICS': [('to', 10701), ('the', 9619), ('trump', 6896), ('of', 5536), ('in', 5250), ('for', 4911), ('a', 4655), ('on', 4105), ('is', 3176), ('donald', 3094)]
INFO: Top words for category 'ENTERTAINMENT': [('the', 5250), ('to', 3465), ('in', 2899), ('of', 2890), ('and', 2747), ('a', 2738), ('is', 2116), ('for', 1907), ('on', 1893), ('with', 1694)]
INFO: Top words for category 'ENVIRONMENT': [('the', 507), ('of', 340), ('to', 300), ('in', 224), ('and', 216), ('for', 164), ('a', 148), ('photos', 141), ('climate', 136), ('animal', 115)]
INFO: Top words for category 'WORLDPOST': [('the', 986), ('in', 638), ('of', 543), ('to', 478), ('and', 382), ('a', 335), ('for', 266), ('on', 220), ('is', 219), ('from', 125)]
INFO: Top words for category 'QUEER VOICES': [('the', 2074), ('to', 1686), ('a', 1224), ('gay', 1220), ('of', 1161), ('in', 986), ('and', 938), ('for', 834), ('is', 606), ('on', 602)]
INFO: Top words for category 'GOOD NEWS': [('to', 476), ('a', 304), ('the', 298), ('in', 252), ('with', 225), ('for', 223), ('of', 195), ('and', 143), ('this', 138), ('is', 119)]
INFO: Top words for category 'LATINO VOICES': [('to', 359), ('the', 349), ('of', 208), ('in', 203), ('a', 195), ('for', 184), ('and', 138), ('on', 120), ('is', 117), ('latino', 114)]
INFO: Top words for category 'U.S. NEWS': [('to', 377), ('in', 366), ('of', 278), ('for', 180), ('after', 169), ('at', 137), ('on', 121), ('the', 120), ('u.s.', 86), ('from', 84)]
INFO: Top words for category 'DIVORCE': [('divorce', 947), ('to', 912), ('the', 820), ('a', 644), ('your', 455), ('of', 385), ('and', 362), ('in', 344), ('for', 311), ('you', 295)]
INFO: Top words for category 'BUSINESS': [('the', 1972), ('to', 1573), ('in', 1017), ('of', 901), ('a', 826), ('for', 755), ('and', 607), ('is', 525), ('your', 394), ('on', 369)]
INFO: Top words for category 'CULTURE & ARTS': [('the', 539), ('of', 241), ('(photos)', 229), ('and', 206), ('in', 202), ('a', 155), ('on', 153), ('to', 108), ('art', 94), ('at', 91)]
INFO: Top words for category 'COMEDY': [('the', 1714), ('to', 975), ('a', 840), ('of', 828), ('trump', 700), ('is', 632), ('in', 626), ('donald', 614), ('on', 592), ('and', 549)]
INFO: Top words for category 'ARTS': [('the', 711), ('of', 378), ('a', 273), ('and', 250), ('in', 220), ('to', 199), ('art', 159), ('at', 135), ('is', 121), ('with', 118)]
INFO: Top words for category 'IMPACT': [('the', 1286), ('to', 1003), ('a', 697), ('of', 692), ('in', 617), ('for', 552), ('and', 493), ('is', 281), ('on', 251), ('how', 218)]
INFO: Top words for category 'SPORTS': [('the', 1449), ('to', 1138), ('in', 787), ('of', 672), ('a', 632), ('for', 622), ('and', 433), ('is', 425), ('on', 384), ('at', 354)]
INFO: Top words for category 'COLLEGE': [('to', 355), ('the', 333), ('college', 231), ('of', 225), ('a', 192), ('for', 159), ('in', 136), ('and', 110), ('on', 102), ('students', 97)]
INFO: Top words for category 'TRAVEL': [('the', 3825), ('to', 2409), ('in', 2072), ('a', 1650), ('(photos)', 1579), ('of', 1328), ('for', 1054), ('and', 944), ('travel', 826), ('on', 744)]
INFO: Top words for category 'MEDIA': [('the', 766), ('to', 693), ('of', 425), ('trump', 366), ('for', 360), ('a', 342), ('in', 340), ('news', 332), ('on', 317), ('is', 300)]
INFO: Top words for category 'MONEY': [('to', 558), ('the', 402), ('for', 276), ('a', 251), ('in', 226), ('your', 220), ('of', 220), ('you', 188), ('how', 148), ('and', 145)]
INFO: Top words for category 'GREEN': [('the', 953), ('to', 594), ('of', 465), ('in', 432), ('a', 371), ('and', 335), ('climate', 334), ('for', 306), ('is', 256), ('on', 226)]
INFO: Top words for category 'EDUCATION': [('the', 409), ('to', 241), ('for', 188), ('a', 164), ('of', 156), ('in', 141), ('and', 138), ('school', 121), ('education', 103), ('is', 70)]
INFO: Top words for category 'WEIRD NEWS': [('a', 559), ('the', 538), ('to', 493), ('in', 486), ('of', 381), ('this', 315), ('for', 279), ('is', 278), ('on', 268), ('with', 247)]
INFO: Top words for category 'FIFTY': [('the', 532), ('to', 422), ('a', 267), ('of', 210), ('for', 168), ('in', 168), ('why', 158), ('you', 153), ('your', 150), ('and', 143)]
INFO: Top words for category 'TECH': [('the', 615), ('to', 565), ('of', 335), ('in', 303), ('a', 250), ('is', 245), ('for', 225), ('and', 210), ('apple', 199), ('on', 180)]
